"freq.background"	"freq.dataset"	"rel.freq.background"	"c.i.low.back"	"c.i.up.back"	"rel.freq.dataset"	"c.i.low.dataset"	"c.i.up.dataset"	"Expected"	"deviation"	"Z-score"	"(Z-score)^2"	"preferences"	"inf.content.back"	"inf.content.dataset"
"promoter"	8728353	17	0.00297404855091166	0	1.02220265985289e-09	0.193181818181818	0.113636363636364	0.284090909090909	0.261716272480226	0.510820817747373	32.7674267492319	1073.70425576628	0.436474745126519	8.39335608529202	2.37196877738696
"proximal"	46508127	14	0.0158469103747254	0	0.0344827586206897	0.159090909090909	0.0909090909090909	0.238636363636364	1.39452811297583	1.17150719599597	10.7600464855083	115.7786003703	0.184053230601205	5.97965459998136	2.65207669657969
"distal"	45210726	0	0.0154048414570268	0	0.0344827586206897	0	0	0.0340909090909091	1.35562604821836	1.15531069600501	-1.17338656424287	1.37683602914568	0.0471784546029944	6.02047235519611	Inf
"enhancer"	11684433	2	0.0039812861638243	0	1.02220265985289e-09	0.0227272727272727	0	0.0568181818181818	0.350353182416539	0.59072693843641	2.79257083137244	7.79845184823215	0.0926674205929291	7.97254971258156	5.4594316186373
"cleavage"	5675337	0	0.00193378152565385	0	1.02220265985289e-09	0	0	0.0340909090909091	0.170172774257538	0.412120967988386	-0.412919476260024	0.170502493874852	0.055900903699387	9.01435947312548	Inf
"splice"	21287947	0	0.00725353201540247	0	0.0344827586206897	0	0	0.0340909090909091	0.638310817355417	0.796040696586045	-0.801857015719072	0.642974673657896	0.0514398455639109	7.10710061639244	Inf
"exon"	52543546	5	0.0179033841597676	0	0.0574712643678161	0.0568181818181818	0.0113636363636364	0.113636363636364	1.57549780605955	1.24390153055903	2.75303318615697	7.57919172408161	0.0922139294383048	5.80362387328801	4.13750352374993
"intron"	1016026896	18	0.346195131857759	0.241379310344828	0.448275862068966	0.204545454545455	0.125	0.295454545454545	30.4651716034828	4.46298968323823	-2.79300928037065	7.80090084023657	0.0286016129223662	1.53034265699404	2.28950661719498
"intergenic"	1727173408	32	0.588507083894928	0.494252873563218	0.701149425287356	0.363636363636364	0.261363636363636	0.465909090909091	51.7886233827537	4.61634606860299	-4.28664209499835	18.3753004506118	0.0114698574523837	0.764868313712726	1.4594316186373
