"freq.background"	"rel.freq.background"	"freq.ERYTH_BIO"	"freq.ERYTH_BIO_filtrado"	"freq.accum."	"expect.ERYTH_BIO"	"expect.ERYTH_BIO_filtrado"	"deviat.ERYTH_BIO"	"deviat.ERYTH_BIO_filtrado"	"Z-score.ERYTH_BIO"	"Z-score.ERYTH_BIO_filtrado"	"Z-scoreSq.ERYTH_BIO"	"Z-scoreSqERYTH_BIO_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	98	42	140	95.4170560524781	44.5829373083442	9.7432397411277	6.66001897290807	0.26510113844565	-0.387827319839655	0.0702786136051798	0.15041003001401	0.22068864361919
"proximal"	46391791	0.0159356033815286	478	218	696	474.359098160571	221.640897443997	21.5023579410403	14.6979973452869	0.169325701367853	-0.24771384553042	0.0286711931437153	0.0613621492674688	0.0900333424111841
"distal"	45095931	0.0154904748242373	418	188	606	413.019556608058	192.980435167166	20.0976657586592	13.7378160468361	0.247812032091167	-0.362534710771114	0.0614108032491534	0.131431416513895	0.192842219763048
"enhancer"	11674501	0.00401019692499603	670	307	977	665.874771887415	311.12522685606	25.3419739345508	17.322577674304	0.162782430573029	-0.238141628435535	0.026498119703263	0.0567114351939282	0.0832095548971912
"cleavage"	5660588	0.00194441480550384	56	22	78	53.1609308613194	24.8390648998845	7.2807840794829	4.97680046836154	0.389940026745346	-0.570459860292362	0.152053224458161	0.325424452204781	0.477477676662942
"splice"	21238900	0.00729557275898115	153	78	231	157.438146349733	73.5618483637944	12.4945891094864	8.54071158452668	-0.355205466209636	0.519646588259262	0.126170923225205	0.270032576689491	0.396203499914695
"exon"	52474138	0.018024892614204	421	219	640	436.192271876435	203.807720715633	20.6407093746053	14.1090150403343	-0.736034387225407	1.07677816211381	0.541746619178281	1.15945121040519	1.70119782958347
"intron"	1014535834	0.348493565746843	8988	4316	13304	9067.34695778738	4236.65304397684	68.4179671267035	46.7672941709743	-1.15973860551041	1.69663345784086	1.34499363311123	2.87856509026502	4.22355872337625
"intergenic"	1705425456	0.585814496008108	7462	3368	10830	7381.19118466232	3448.80881323477	66.8919014284762	45.7241476638432	1.20805080453702	-1.76731152713587	1.45938674634255	3.1233900339473	4.58277678028986
