"freq.background"	"rel.freq.background"	"freq.ERYTH_BMP"	"freq.ERYTH_BMP_filtrado"	"freq.accum."	"expect.ERYTH_BMP"	"expect.ERYTH_BMP_filtrado"	"deviat.ERYTH_BMP"	"deviat.ERYTH_BMP_filtrado"	"Z-score.ERYTH_BMP"	"Z-score.ERYTH_BMP_filtrado"	"Z-scoreSq.ERYTH_BMP"	"Z-scoreSqERYTH_BMP_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	111	35	146	99.9893092703649	46.0106838283666	9.97618617020378	6.76733961861382	1.10369739916453	-1.62703284435161	1.21814794892255	2.64723587659888	3.86538382552144
"proximal"	46391791	0.0159356033815286	546	240	786	538.298628623239	247.701361151095	22.9093554038922	15.540546839905	0.336167091608902	-0.49556564710575	0.113008313480788	0.245585310591341	0.358593624072129
"distal"	45095931	0.0154904748242373	476	233	709	485.564543238568	223.435453652409	21.7855953464378	14.778244911204	-0.439030611120391	0.64720448233605	0.192747877500744	0.418873641955875	0.611621519456619
"enhancer"	11674501	0.00401019692499603	705	334	1039	711.567785336431	327.432208827839	26.2307016052045	17.7935799481287	-0.250385423740537	0.369110161716018	0.062692860421728	0.136242311482025	0.198935171903753
"cleavage"	5660588	0.00194441480550384	47	22	69	47.2552164887544	21.7447729259342	6.86667085794785	4.65800186084761	-0.0371674271323186	0.0547932529205444	0.00138141763963621	0.00300230056561474	0.00438371820525096
"splice"	21238900	0.00729557275898115	169	86	255	174.638870238701	80.3611296180593	13.1613556637338	8.9279973426993	-0.428441444997871	0.631594092772867	0.183562071791863	0.398911098025581	0.582473169817444
"exon"	52474138	0.018024892614204	437	200	637	436.25474536614	200.745252708883	20.6739824641139	14.0241830111183	0.0360479474698822	-0.053140543608998	0.00129945451679139	0.00282391737505982	0.00412337189185121
"intron"	1014535834	0.348493565746843	9582	4653	14235	9748.95811616931	4486.04188599989	73.0433540076346	49.5489132839832	-2.28574000246293	3.36956156925597	5.22460735885924	11.3539451690067	16.578552527866
"intergenic"	1705425456	0.585814496008108	9461	4106	13567	9291.47276307767	4275.52724107628	72.6798225022832	49.3023119158045	2.33252133928923	-3.43852518246587	5.44065579823963	11.823455430452	17.2641112286916
