"freq.background"	"rel.freq.background"	"freq.ERYTH_BIO"	"freq.ERYTH_BMP"	"freq.accum."	"expect.ERYTH_BIO"	"expect.ERYTH_BMP"	"deviat.ERYTH_BIO"	"deviat.ERYTH_BMP"	"Z-score.ERYTH_BIO"	"Z-score.ERYTH_BMP"	"Z-scoreSq.ERYTH_BIO"	"Z-scoreSqERYTH_BMP"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	42	35	77	36.1261027122594	40.8738926439573	5.99808110884593	6.38005895906994	0.979296075052706	-0.920664320132493	0.959020802613635	0.847622790365026	1.80664359297866
"proximal"	46391791	0.0159356033815286	218	240	458	214.879948349946	243.120051176023	14.4778167889673	15.3998125460489	0.215505672956971	-0.202603191869628	0.0464426950766368	0.0410480533557615	0.0874907484323983
"distal"	45095931	0.0154904748242373	188	233	421	197.520651225642	223.479348366623	13.8947959291801	14.779662969491	-0.68519546988436	0.644172445138294	0.469492831950049	0.414958139075448	0.884450971025497
"enhancer"	11674501	0.00401019692499603	307	334	641	300.738093992906	340.261906071672	17.0414281531881	18.1266832493724	0.367451950083338	-0.345452391125604	0.135020935620048	0.119337354534397	0.254358290154445
"cleavage"	5660588	0.00194441480550384	22	22	44	20.6434855450754	23.3565081372634	4.53814552725373	4.82714980062836	0.298913828738642	-0.281016374732516	0.0893494770111944	0.0789702028678059	0.168319679879
"splice"	21238900	0.00729557275898115	78	86	164	76.9439113340737	87.0560878521736	8.73313728114289	9.2892926488058	0.120928897820794	-0.113688726590972	0.014623798328152	0.0129251265538767	0.0275489248820287
"exon"	52474138	0.018024892614204	219	200	419	196.582308238704	222.417685811523	13.8625119766317	14.7453230669534	1.61714498779771	-1.5203251708852	2.61515791155925	2.31138862522711	4.92654653678636
"intron"	1014535834	0.348493565746843	4316	4653	8969	4207.98746445009	4761.01253542315	46.7563274696259	49.7339266596198	2.31011590078527	-2.17180791218024	5.33663547506093	4.71674960740869	10.0533850824696
"intergenic"	1705425456	0.585814496008108	3368	4106	7474	3506.57802512617	3967.42197430637	45.853985403901	48.7741204355787	-3.02215879177162	2.84122039425939	9.13344376268252	8.07253332875549	17.205977091438
