"freq.background"	"rel.freq.background"	"freq.SERUM"	"freq.SERUM_filtrado"	"freq.accum."	"expect.SERUM"	"expect.SERUM_filtrado"	"deviat.SERUM"	"deviat.SERUM_filtrado"	"Z-score.SERUM"	"Z-score.SERUM_filtrado"	"Z-scoreSq.SERUM"	"Z-scoreSqSERUM_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	113	92	205	148.755006389422	56.2449932162395	11.3312825840469	6.96763287515133	-3.15542447416858	5.13158592371787	9.95670361218207	26.3331740924994	36.2898777046815
"proximal"	46391791	0.0159356033815286	179	138	317	230.026034419826	86.9739651762175	13.4665844022136	8.2806350914737	-3.7890851084287	6.16209194827609	14.3571659589162	37.971377179009	52.3285431379251
"distal"	45095931	0.0154904748242373	22	12	34	24.6715619606417	9.32843787104301	4.91035480110673	3.01938896034743	-0.544066990849541	0.884802244441397	0.296008890532075	0.782875011768534	1.07888390230061
"enhancer"	11674501	0.00401019692499603	26	7	33	23.9459277084554	9.05407202224025	4.83925668005442	2.97567055495676	0.424460289533876	-0.690288788461025	0.180166537391181	0.47649861147499	0.656665148866172
"cleavage"	5660588	0.00194441480550384	5	2	7	5.0794390185346	1.92056065926193	2.24848870072577	1.38260110224768	-0.0353299611908025	0.0574564425045838	0.00124820615774361	0.00330124278528254	0.00454944894302615
"splice"	21238900	0.00729557275898115	6	2	8	5.80507327072098	2.1949265080647	2.40292933545647	1.47756701946201	0.0811204584349494	-0.131923970620073	0.00658052877669635	0.0174039340241658	0.0239844628008622
"exon"	52474138	0.018024892614204	29	8	37	26.8484643438158	10.1515352762726	5.1171582217912	3.14655288040389	0.420455175105184	-0.683775343383528	0.176782554272731	0.467548720219261	0.644331274491992
"intron"	1014535834	0.348493565746843	263	74	337	244.538718343398	92.4612817287367	13.7668296341939	8.46525660571416	1.34099732088989	-2.18082954700689	1.79827381463386	4.75601751309826	6.55429132773213
"intergenic"	1705425456	0.585814496008108	444	76	520	377.329773051645	142.670226977209	15.6954574136915	9.65117445929203	4.24774029778814	-6.90799106973138	18.0432976374533	47.7203406194885	65.7636382569418
