"freq.background"	"rel.freq.background"	"freq.ERYTH_BMP"	"freq.ERYTH_BMP_filtrado"	"freq.accum."	"expect.ERYTH_BMP"	"expect.ERYTH_BMP_filtrado"	"deviat.ERYTH_BMP"	"deviat.ERYTH_BMP_filtrado"	"Z-score.ERYTH_BMP"	"Z-score.ERYTH_BMP_filtrado"	"Z-scoreSq.ERYTH_BMP"	"Z-scoreSqERYTH_BMP_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	111	48	159	102.267204265284	56.7327956790693	10.0886457884898	7.51419550317464	0.865606337837695	-1.16217307300293	0.749274332104785	1.35064625161308	2.09992058371786
"proximal"	46391791	0.0159356033815286	546	314	860	553.143362096835	306.856626897409	23.2148830496714	17.290840958812	-0.307706141855258	0.413130461358559	0.094683069735448	0.170676778102336	0.265359847837784
"distal"	45095931	0.0154904748242373	476	298	774	497.829031804704	276.170967490433	22.052584518977	16.4251411834611	-0.98986274311381	1.32900121014162	0.979828250204796	1.7662442165579	2.74607246676269
"enhancer"	11674501	0.00401019692499603	705	439	1144	735.809317389769	408.190680112296	26.6582390921218	19.8555112854805	-1.15571464729167	1.55167597775404	1.33567634596451	2.40769833993894	3.74337468590346
"cleavage"	5660588	0.00194441480550384	47	33	80	51.4551914854904	28.5447997346368	7.16462562469569	5.33633539919106	-0.621831721413869	0.834880106306395	0.386674689756535	0.697024791906177	1.08369948166271
"splice"	21238900	0.00729557275898115	169	98	267	171.731717578707	95.268277988076	13.0522378327126	9.7215294188276	-0.209291127982675	0.280997145020567	0.0438027762522603	0.0789593955097095	0.12276217176197
"exon"	52474138	0.018024892614204	437	254	691	444.444259820483	246.555731764442	20.8630791581987	15.5391772968947	-0.356815011055431	0.479064502150051	0.127316952114488	0.229502797220276	0.356819749334763
"intron"	1014535834	0.348493565746843	9582	5649	15231	9796.42634233223	5434.57365494106	73.0733543375719	54.4262809971706	-2.93439851333031	3.93975743207744	8.61069463503513	15.5216886236094	24.1323832586445
"intergenic"	1705425456	0.585814496008108	9461	4813	14274	9180.89355103568	5093.10645308221	72.5715848288372	54.0525545064987	3.8597262223908	-5.18211314228503	14.8974865118112	26.8542966194433	41.7517831312544
