"freq.background"	"rel.freq.background"	"freq.ERYTH_BIO"	"freq.ERYTH_BIO_filtrado"	"freq.accum."	"expect.ERYTH_BIO"	"expect.ERYTH_BIO_filtrado"	"deviat.ERYTH_BIO"	"deviat.ERYTH_BIO_filtrado"	"Z-score.ERYTH_BIO"	"Z-score.ERYTH_BIO_filtrado"	"Z-scoreSq.ERYTH_BIO"	"Z-scoreSqERYTH_BIO_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	98	42	140	95.4170560524781	44.5829373083442	9.7432397411277	6.66001897290807	0.26510113844565	-0.387827319839655	0.0702786136051798	0.15041003001401	0.22068864361919
"proximal"	46391791	0.0159356033815286	478	219	697	475.040646905312	221.959346222617	21.5173980902124	14.7082780816234	0.137533036395962	-0.201202765285901	0.0189153361002929	0.0404825527586934	0.0593978888589863
"distal"	45095931	0.0154904748242373	418	188	606	413.019556608058	192.980435167166	20.0976657586592	13.7378160468361	0.247812032091167	-0.362534710771114	0.0614108032491534	0.131431416513895	0.192842219763048
"enhancer"	11674501	0.00401019692499603	670	308	978	666.556320632157	311.443675634679	25.3544619184067	17.3311138708488	0.135821433676055	-0.198699036907936	0.0184474618458191	0.0394813072681414	0.0579287691139604
"cleavage"	5660588	0.00194441480550384	56	22	78	53.1609308613194	24.8390648998845	7.2807840794829	4.97680046836154	0.389940026745346	-0.570459860292362	0.152053224458161	0.325424452204781	0.477477676662942
"splice"	21238900	0.00729557275898115	153	78	231	157.438146349733	73.5618483637944	12.4945891094864	8.54071158452668	-0.355205466209636	0.519646588259262	0.126170923225205	0.270032576689491	0.396203499914695
"exon"	52474138	0.018024892614204	421	218	639	435.510723131694	203.489271937013	20.6249614504645	14.098250502424	-0.703551527431673	1.02925735788933	0.494984751751441	1.05937070876933	1.55435546052077
"intron"	1014535834	0.348493565746843	8988	4316	13304	9067.34695778738	4236.65304397684	68.4179671267035	46.7672941709743	-1.15973860551041	1.69663345784086	1.34499363311123	2.87856509026502	4.22355872337625
"intergenic"	1705425456	0.585814496008108	7462	3367	10829	7380.50963591757	3448.49036445615	66.8908190834851	45.7234078238754	1.21825932465737	-1.78224608213915	1.48415578211463	3.17640109730037	4.660556879415
