"freq.background"	"rel.freq.background"	"freq.SERUM"	"freq.STARVED"	"freq.accum."	"expect.SERUM"	"expect.STARVED"	"deviat.SERUM"	"deviat.STARVED"	"Z-score.SERUM"	"Z-score.STARVED"	"Z-scoreSq.SERUM"	"Z-scoreSqSTARVED"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	113	51	164	121.601636939677	42.3983628336131	10.3922153236096	6.13639097260602	-0.827700030438643	1.40174203449327	0.685087340388131	1.96488073126534	2.64996807165347
"proximal"	46391791	0.0159356033815286	179	67	246	182.402455409515	63.5975442504196	12.3204959240563	7.27500129781265	-0.276162212177795	0.467691428536704	0.0762655674349336	0.218735272326702	0.295000839761636
"distal"	45095931	0.0154904748242373	22	3	25	18.5368348765736	6.46316505816134	4.26857301876443	2.52050521689515	0.811316828411402	-1.37399638570373	0.658234996063537	1.88786606792692	2.54610106399046
"enhancer"	11674501	0.00401019692499603	26	11	37	27.4345156920059	9.56548431211612	5.17127575878967	3.05353275456107	-0.277400734154936	0.469788865287636	0.0769511673096973	0.220701577948245	0.297652745257942
"cleavage"	5660588	0.00194441480550384	5	1	6	4.44884022102364	1.55115956188405	2.10490629044849	1.24290418901784	0.261845280940714	-0.443444930634259	0.0685629511509215	0.196643406505222	0.265206357656144
"splice"	21238900	0.00729557275898115	6	5	11	8.15620719633835	2.84379257351632	2.84517219267582	1.6800160904077	-0.757847697896445	1.28344450912992	0.574333133206941	1.64722980801574	2.22156294122269
"exon"	52474138	0.018024892614204	29	20	49	36.3321961340532	12.6678034358842	5.92602779363238	3.49919842149956	-1.23728682844379	2.09539319607192	1.53087869584049	4.39067264614451	5.921551341985
"intron"	1014535834	0.348493565746843	263	90	353	261.740109129312	91.2598908555742	14.0966415163569	8.32377900682206	0.0893752507805701	-0.151360440317027	0.0079879354520898	0.0229099828929643	0.0308979183450541
"intergenic"	1705425456	0.585814496008108	444	131	575	426.347203281347	148.652796728271	16.0973169451008	9.50513700006604	1.09662975381904	-1.85718488099102	1.2025968169612	3.44913568218162	4.65173249914282
