"freq.background"	"rel.freq.background"	"freq.SERUM"	"freq.STARVED"	"freq.accum."	"expect.SERUM"	"expect.STARVED"	"deviat.SERUM"	"deviat.STARVED"	"Z-score.SERUM"	"Z-score.STARVED"	"Z-scoreSq.SERUM"	"Z-scoreSqSTARVED"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	92	6	98	91.1266968389674	6.87330316790265	8.42152748060832	2.31286793103142	0.10369890296547	-0.377584537441877	0.0107534624762419	0.142570082915196	0.153323545391438
"proximal"	46391791	0.0159356033815286	138	4	142	132.040723994038	9.95927601901503	9.46680454405413	2.59994029464399	0.629491818303663	-2.29208187253047	0.396259949311252	5.25363931038279	5.64989925969405
"distal"	45095931	0.0154904748242373	12	0	12	11.1583709781198	0.841628954554052	3.29475754077474	0.90486423919279	0.255444903445687	-0.93011627391182	0.0652520986963762	0.865116282995608	0.930368381691985
"enhancer"	11674501	0.00401019692499603	7	1	8	7.43891393835367	0.561085966153196	2.70264165863739	0.742246965972074	-0.162401825247878	0.591331529758408	0.0263743528438424	0.349672978086419	0.376047330930262
"cleavage"	5660588	0.00194441480550384	2	0	2	1.85972844929374	0.14027148887617	1.36062968068731	0.373680043402754	0.103093113943687	-0.375378592870117	0.0106281901426061	0.140909087985149	0.151537278127755
"splice"	21238900	0.00729557275898115	2	1	3	2.78959267394061	0.210407233314255	1.66452948228394	0.457142349614796	-0.474363886217977	1.72723609473304	0.225021096547822	2.98334452694863	3.20836562349645
"exon"	52474138	0.018024892614204	8	3	11	10.228506753473	0.771493210115967	3.15815606829286	0.867348341303423	-0.705635410436698	2.56933308540731	0.497921332462167	6.60147250376863	7.09939383623079
"intron"	1014535834	0.348493565746843	74	8	82	76.2488686799026	5.75113121429922	7.88055469068947	2.16429647291471	-0.285369338602468	1.03907612189201	0.0814356594144099	1.07967918708614	1.16111484650055
"intergenic"	1705425456	0.585814496008108	76	8	84	78.1085972703751	5.89140271382391	7.95389342122893	2.1844380444239	-0.265102530132882	0.965281341605726	0.0702793514828554	0.931768068452151	1.00204741993501
