"freq.background"	"rel.freq.background"	"freq.SERUM_filtrado"	"freq.STARVED_filtrado"	"freq.accum."	"expect.SERUM_filtrado"	"expect.STARVED_filtrado"	"deviat.SERUM_filtrado"	"deviat.STARVED_filtrado"	"Z-score.SERUM_filtrado"	"Z-score.STARVED_filtrado"	"Z-scoreSq.SERUM_filtrado"	"Z-scoreSqSTARVED_filtrado"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	79	17	96	72.9180327587069	23.081967204195	7.33430203008279	4.1264609798084	0.829249629528061	-1.4738942725874	0.687654948072427	2.17236432676595	2.86001927483838
"proximal"	46391791	0.0159356033815286	116	14	130	98.7431693488123	31.2568305852356	7.97937672277371	4.48939606722815	2.16267902252759	-3.84390914207984	4.67718055448089	14.7756374925649	19.4528180470458
"distal"	45095931	0.0154904748242373	14	0	14	10.6338796937549	3.3661201908289	3.19798660074701	1.79926690608127	1.05257486240211	-1.87082871332312	1.10791384096082	3.50000007459426	4.60791391555508
"enhancer"	11674501	0.00401019692499603	6	2	8	6.07650268214568	1.92349725190223	2.4379668551775	1.37166086925419	-0.0313797055867302	0.0557738066402434	0.000984685922709865	0.00311071750714326	0.00409540342985312
"cleavage"	5660588	0.00194441480550384	2	0	2	1.51912567053642	0.480874312975557	1.22915592732498	0.691553736320493	0.39122321161491	-0.695353502873276	0.153055601306285	0.483516493958136	0.63657209526442
"splice"	21238900	0.00729557275898115	1	0	1	0.75956283526821	0.240437156487779	0.870337552285073	0.489673582303477	0.276257371752514	-0.491015168424517	0.0763181354476067	0.241095895622957	0.317414031070564
"exon"	52474138	0.018024892614204	2	5	7	5.31693984687747	1.68306009541445	2.28369202063799	1.28486200519289	-1.45244622168922	2.58155342066294	2.10960002689929	6.66441806373651	8.7740180906358
"intron"	1014535834	0.348493565746843	29	18	47	35.6994535440853	11.3005464456097	5.5780905808612	3.13837268077447	-1.20102989490194	2.13469024741097	1.44247280844818	4.55690245239151	5.99937526083969
"intergenic"	1705425456	0.585814496008108	29	32	61	46.3333333333333	14.6666666666667	6.21378366514943	3.49602944166188	-2.7894973927961	4.95800553816095	7.78129570441625	24.5818189164346	32.3631146208509
