"freq.background"	"rel.freq.background"	"freq.ERYTH_BIO"	"freq.ERYTH_BMP"	"freq.accum."	"expect.ERYTH_BIO"	"expect.ERYTH_BMP"	"deviat.ERYTH_BIO"	"deviat.ERYTH_BMP"	"Z-score.ERYTH_BIO"	"Z-score.ERYTH_BMP"	"Z-scoreSq.ERYTH_BIO"	"Z-scoreSqERYTH_BMP"	"contrib.accum."
"promoter"	8706779	0.00299078293559785	98	111	209	97.2614304622546	111.738563997769	9.83646908748702	10.5431464686811	0.0750848227322732	-0.0700515733100482	0.00563773060473689	0.00490722292321306	0.01054495352795
"proximal"	46391791	0.0159356033815286	478	546	1024	476.534479626927	547.465508124533	21.5503226630226	23.0985535828722	0.0680045675412563	-0.0634458828460692	0.00462462120647329	0.00402538005011714	0.00865000125659043
"distal"	45095931	0.0154904748242373	418	476	894	416.036942505929	477.963055907099	20.1692854555926	21.6182990904187	0.0973290550323947	-0.0908052894859395	0.00947294495349892	0.00824560059862528	0.0177185455521242
"enhancer"	11674501	0.00401019692499603	670	705	1375	639.877847237769	735.12214908334	24.8602068163398	26.6462283747528	1.21166139062175	-1.13044700584646	1.46812332552343	1.27791043302722	2.74603375855064
"cleavage"	5660588	0.00194441480550384	56	47	103	47.9326676421435	55.0673316797865	6.91446202576466	7.41121486189659	1.16673319309528	-1.08853026529608	1.36126634387032	1.18489813846554	2.54616448233586
"splice"	21238900	0.00729557275898115	153	169	322	149.847757282388	172.152241000797	12.1921635300917	13.0680800930274	0.258546623807354	-0.241216841215929	0.0668463566821812	0.0581855644861907	0.125031921168372
"exon"	52474138	0.018024892614204	421	437	858	399.283774616025	458.716218660984	19.7680483403347	21.188236063004	1.09855181503505	-1.02491866696263	1.20681609031681	1.05045827388845	2.25727436420526
"intron"	1014535834	0.348493565746843	8988	9582	18570	8641.84120462839	9928.15879750681	68.2460783659786	73.149053153729	5.07221519037752	-4.73223893656326	25.7273669374965	22.3940853527254	48.1214522902219
"intergenic"	1705425456	0.585814496008108	7462	9461	16923	7875.38388312103	9047.616119245	67.5756847632849	72.4304967406501	-6.11734656584093	5.70731804084118	37.4219290066059	32.5734792193112	69.995408225917
